LINK_ID	GEOMETRY
132	LINESTRING (975790.47838301 -4292637.4754366,975779.89978304 -4292641.88932715,975769.48211676 -4292647.10173911,975761.22623072 -4292652.40354297,975752.74606393 -4292658.94057769,975739.86699614 -4292671.41016396,975737.16062894 -4292674.0741166)
133	LINESTRING (975737.16062894 -4292674.0741166,975739.86699614 -4292671.41016396,975752.74606393 -4292658.94057769,975761.22623072 -4292652.40354297,975769.48211676 -4292647.10173911,975779.89978304 -4292641.88932715,975790.47838301 -4292637.4754366)
134	LINESTRING (975797.78907053 -4292637.05429085,975787.75367135 -4292641.86332988,975777.65583927 -4292648.39245365,975770.39822929 -4292655.08187619,975763.23300961 -4292663.04559945,975756.13552457 -4292671.45228429,975752.14151645 -4292677.43165875,975749.96809101 -4292683.43677706,975750.16421119 -4292689.19099894,975751.31476944 -4292692.38482498)
135	LINESTRING (975751.31476944 -4292692.38482498,975750.16421119 -4292689.19099894,975749.96809101 -4292683.43677706,975752.14151645 -4292677.43165875,975756.13552457 -4292671.45228429,975763.23300961 -4292663.04559945,975770.39822929 -4292655.08187619,975777.65583927 -4292648.39245365,975787.75367135 -4292641.86332988,975797.78907053 -4292637.05429085)
136	LINESTRING (975775.64893597 -4292737.48618557,975749.76016053 -4292721.57155439,975729.79843981 -4292709.640884)
137	LINESTRING (975729.79843981 -4292709.640884,975749.76016053 -4292721.57155439,975775.64893597 -4292737.48618557)
140	LINESTRING (985608.50043444 -4294191.65201329)
141	LINESTRING (985608.50043444 -4294191.65201329)
142	LINESTRING (985940.54912823 -4294432.25464223,985876.21598595 -4294409.05211903,985793.18499761 -4294378.02406956)
143	LINESTRING (985793.18499761 -4294378.02406956,985876.21598595 -4294409.05211903,985940.54912823 -4294432.25464223)
144	LINESTRING (984705.47864557 -4294098.81855254)
145	LINESTRING (984705.47864557 -4294098.81855254)
146	LINESTRING (984232.77604973 -4293931.16004909,984237.1244274 -4293940.07378318,984241.73189129 -4293946.87018365,984247.52923063 -4293954.08598137,984255.26535439 -4293960.19641425,984261.88116369 -4293964.30238706,984269.06628763 -4293967.2038365,984277.83657147 -4293970.17877631,984287.35004285 -4293972.99558066,984296.11883053 -4293975.18598528)
147	LINESTRING (984296.11883053 -4293975.18598528,984287.35004285 -4293972.99558066,984277.83657147 -4293970.17877631,984269.06628763 -4293967.2038365,984261.88116369 -4293964.30238706,984255.26535439 -4293960.19641425,984247.52923063 -4293954.08598137,984241.73189129 -4293946.87018365,984237.1244274 -4293940.07378318,984232.77604973 -4293931.16004909)
148	LINESTRING (978304.84762213 -4292239.6266497,978340.70352392 -4292213.91472664,978391.60877389 -4292181.92253448,978425.99217443 -4292161.11202518,978477.41235915 -4292134.47683676)
149	LINESTRING (978477.41235915 -4292134.47683676,978425.99217443 -4292161.11202518,978391.60877389 -4292181.92253448,978340.70352392 -4292213.91472664,978304.84762213 -4292239.6266497)
150	LINESTRING (978747.61717403 -4292204.21768373)
151	LINESTRING (978747.61717403 -4292204.21768373)
152	LINESTRING (992324.44925502 -4314367.86930216,992326.92467996 -4314388.37746528)
153	LINESTRING (992326.92467996 -4314388.37746528,992324.44925502 -4314367.86930216)
154	LINESTRING (992334.80691112 -4314370.86140776,992349.125877 -4314384.91813508,992368.55376532 -4314396.94348074)
155	LINESTRING (992368.55376532 -4314396.94348074,992349.125877 -4314384.91813508,992334.80691112 -4314370.86140776)
156	LINESTRING (993287.28290502 -4317919.73413457,993293.80354404 -4317932.4098039,993296.34199008 -4317937.34819391,993307.16459411 -4317952.51862225,993323.69550023 -4317967.27070235)
157	LINESTRING (993323.69550023 -4317967.27070235,993307.16459411 -4317952.51862225,993296.34199008 -4317937.34819391,993293.80354404 -4317932.4098039,993287.28290502 -4317919.73413457)
158	LINESTRING (993144.83123237 -4317928.22131944,993153.6605665 -4317927.73535412,993162.20419456 -4317927.26860982,993166.11106998 -4317927.0473414,993184.4142686 -4317915.53473225)
159	LINESTRING (993184.4142686 -4317915.53473225,993166.11106998 -4317927.0473414,993162.20419456 -4317927.26860982,993153.6605665 -4317927.73535412,993144.83123237 -4317928.22131944)
160	LINESTRING (993294.77325519 -4317999.00449183,993287.56431378 -4318002.00228718,993285.38000443 -4318002.90529275)
161	LINESTRING (993285.38000443 -4318002.90529275,993287.56431378 -4318002.00228718,993294.77325519 -4317999.00449183)
162	LINESTRING (993274.67894424 -4317995.574162)
163	LINESTRING (993274.67894424 -4317995.574162)
164	LINESTRING (993163.35823947 -4317983.41576066,993159.72342654 -4317968.15048857)
165	LINESTRING (993159.72342654 -4317968.15048857,993163.35823947 -4317983.41576066)
